Ano;Países;Código ISIC Classe;Descrição ISIC Classe;Valor US$ FOB;chave;atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc;brl_usd;Valor RS$ FOB
2013;Estados Unidos;3091;Fabricação de motocicletas;19688422;30;3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3011;30;C;30;FABRICACIÓN DE OTRO  EQUIPO DE TRANSPORTE;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;2.1576;42479739.3072
2013;Estados Unidos;2023;Fabricação de sabão e detergentes, produtos de limpeza e polimento, perfumes e produtos de toilette;19070785;202;2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2051;205;C;202;Fabricación de otros productos químicos;Fabricação de defensivos agrícolas e desinfestantes domissanitários;2.1576;41147125.716
2013;Estados Unidos;1512;Fabricação de malas, bolsas e semelhantes, selaria e arreios;17771192;15;1500;Fabricação de calçados e de artefatos de couro;1510;15;C;15;FABRICACIÓN DE PRODUCTOS DE CUERO Y PRODUCTOS CONEXOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;2.1576;38343123.8592
2013;Estados Unidos;2660;Fabricação de equipamentos de irradiação, eletromédicos e eletroterapêuticos;17763417;26;2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2610;26;C;26;FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, DE ELECTRÓNICA Y DE ÓPTICA;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;2.1576;38326348.5192
2013;Estados Unidos;2910;Fabricação de veículos automotores;16994262;291;2991;Fabricação de automóveis, caminhões e ônibus, exceto peças;2910;291;C;291;Fabricación de vehículos automotores;Fabricação de automóveis, camionetas e utilitários;2.1576;36666819.6912
2013;Estados Unidos;0311;Pesca marinha;13476083;03;0280;"Produção florestal; pesca e aquicultura";0311;03;A;03;PESCA Y ACUICULTURA;PESCA E AQÜICULTURA;2.1576;29075996.6808
2013;Estados Unidos;3020;Fabricação de locomotivas e material circulante;11955242;30;3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3011;30;C;30;FABRICACIÓN DE OTRO  EQUIPO DE TRANSPORTE;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;2.1576;25794630.1392
2013;Estados Unidos;2431;Fundição de ferro e aço;11057901;243;2492;Metalurgia de metais não ferosos e a fundição de metais;2451;245;C;243;Fundición de metales;Fundição;2.1576;23858527.1976
2013;Estados Unidos;1062;Fabricação de amidos e féculas;10668452;106;1093;Outros produtos alimentares;1061;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais;2.1576;23018252.0352
2013;Estados Unidos;2012;Fabricação de fertilizantes e compostos nitrogenados;9901926;201;1992;Fabricação de biocombustíveis;1931;193;C;201;Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias;Fabricação de biocombustíveis;2.1576;21364395.5376
2013;Estados Unidos;2021;Fabricação de pesticidas e outros produtos agroquímicos;9444544;202;2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2051;205;C;202;Fabricación de otros productos químicos;Fabricação de defensivos agrícolas e desinfestantes domissanitários;2.1576;20377548.1344
2013;Estados Unidos;2640;Fabricação de produtos eletrônicos de consumo;9283504;26;2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2610;26;C;26;FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, DE ELECTRÓNICA Y DE ÓPTICA;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;2.1576;20030088.2304
2013;Estados Unidos;2022;Fabricação de tintas, vernizes e produtos similares, tintas de impressão e mástiques;9184515;202;2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2051;205;C;202;Fabricación de otros productos químicos;Fabricação de defensivos agrícolas e desinfestantes domissanitários;2.1576;19816509.564
2013;Estados Unidos;2816;Fabricação de equipamentos de elevação e manuseio;9017707;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;2.1576;19456604.6232
